Airport,,U Mich,,Saline,
,,,,,
PRCP,TKAVG,PRCP,TKAVG,PRCP,TKAVG
,,,,,
0,279,0,279.5,0,278.15
,,,,,
0,282.6,0,284.55,0,276.75
,,,,,
0,276.5,0,280.9,0,282.05
,,,,,
0,274.3,0,275.4,0,274.8
,,,,,
0,273.45,0,275.1,0,275.95
,,,,,
0,278.2,0,277.6,0,274.3
,,,,,
0,277.9,0,280.4,0,277.9
,,,,,
0,271.5,0,274.55,0,276.2
,,,,,
0,269.05,0,270.9,0,274
,,,,,
0,271.8,0,271.25,0,268.7
,,,,,
56,277.35,58,277.3,33,272.05
,,,,,
3,277.05,3,278.95,15,279
,,,,,
0,269.05,3,271.75,3,273.4
,,,,,
0,269.6,0,268.95,0,266.75
,,,,,
0,271,0,272.05,0,269.8
,,,,,
8,280.95,0,280.65,3,272.05
,,,,,
43,277.05,79,279.25,46,277
,,,,,
0,280.45,0,281.45,5,275.95
,,,,,
53,280.95,51,283.7,0,281.75
